Date,TripPast24Hrs,MilesTraveledToday,TotalAnnualMembership,24HrPassPurchased,3DayPassPurchased
5/27/2013,9767,21.533,17216.0,0.0,0.0
5/28/2013,5215,8.78,19816.0,0.0,0.0
5/29/2013,10981,21.898000000000003,21986.0,0.0,0.0
5/30/2013,9850,20.320999999999998,23985.0,0.0,0.0
5/31/2013,9253,20.243,25615.0,0.0,0.0
6/1/2013,9852,26.346999999999998,26756.0,0.0,0.0
6/2/2013,17590,52.143,28253.0,4723.0,289.0
6/3/2013,8599,18.907,29616.0,1160.0,221.0
6/4/2013,17589,48.666000000000004,31095.0,2922.0,394.0
6/5/2013,17433,44.917,32620.0,2821.0,279.0
6/6/2013,13732,30.987,33954.0,1872.0,210.0
6/7/2013,1393,2.065,34449.0,66.0,11.0
6/8/2013,19899,54.665,35233.0,5013.0,230.0
6/9/2013,23236,71.604,36295.0,5772.0,275.0
6/10/2013,4504,10.138,37086.0,290.0,82.0
6/11/2013,14638,34.63,37894.0,1836.0,273.0
6/12/2013,18960,45.714,38805.0,2767.0,316.0
6/13/2013,8782,15.075,39442.0,701.0,119.0
6/14/2013,16423,33.98,40078.0,2268.0,211.0
6/15/2013,27276,72.792,40702.0,6107.0,319.0
6/16/2013,23610,59.573,41541.0,4413.0,314.0
6/17/2013,21278,43.897,42564.0,2378.0,530.0
6/18/2013,14826,27.67,43394.0,1236.0,277.0
6/19/2013,26267,54.405,44223.0,2678.0,607.0
6/20/2013,28994,59.935,45024.0,2814.0,421.0
6/21/2013,30660,64.872,45815.0,3465.0,408.0
6/22/2013,31885,80.433,46448.0,5902.0,383.0
6/23/2013,30653,76.45,47203.0,4959.0,279.0
6/24/2013,26636,50.663999999999994,48135.0,1844.0,386.0
6/25/2013,30426,56.075,48915.0,1937.0,343.0
6/26/2013,32322,59.663000000000004,49665.0,2000.0,301.0
6/27/2013,28094,55.26,50355.0,1680.0,223.0
6/28/2013,30595,58.037,51029.0,2268.0,291.0
6/29/2013,32947,77.226,51505.0,4895.0,296.0
6/30/2013,27285,61.052,52125.0,3592.0,178.0
7/1/2013,20151,36.168,52722.0,846.0,167.0
7/2/2013,26682,48.733000000000004,53310.0,1435.0,219.0
7/3/2013,25509,46.016000000000005,53748.0,1419.0,189.0
7/4/2013,26004,63.674,54073.0,4219.0,257.0
7/5/2013,25541,53.419,54507.0,2803.0,215.0
7/6/2013,23697,53.761,54843.0,3178.0,172.0
7/7/2013,23688,50.63399999999999,55284.0,2703.0,186.0
7/8/2013,26063,49.831,55971.0,1453.0,321.0
7/9/2013,30929,55.498999999999995,56610.0,1379.0,287.0
7/10/2013,30705,55.948,57194.0,1435.0,223.0
7/11/2013,29689,56.393,57725.0,1478.0,196.0
7/12/2013,22817,39.97,58133.0,1096.0,118.0
7/13/2013,30132,64.833,58495.0,3285.0,213.0
7/14/2013,33545,75.02,58954.0,3681.0,224.0
7/15/2013,32565,57.755,59593.0,1382.0,273.0
7/16/2013,34757,61.856,60129.0,1288.0,251.0
7/17/2013,35172,60.698,60619.0,1303.0,201.0
7/18/2013,33222,56.228,61008.0,1094.0,143.0
7/19/2013,30667,52.784,61366.0,1389.0,164.0
7/20/2013,29145,58.799,61652.0,2811.0,169.0
7/21/2013,34694,76.31,62074.0,3502.0,191.0
7/22/2013,29787,50.145,62577.0,1005.0,184.0
7/23/2013,37296,65.911,63026.0,1390.0,220.0
7/24/2013,40699,74.469,63466.0,1708.0,211.0
7/25/2013,36207,62.188,63822.0,1163.0,144.0
7/26/2013,39499,72.71,64182.0,2073.0,176.0
7/27/2013,37131,82.27,64495.0,4259.0,197.0
7/28/2013,26780,53.562,64884.0,2391.0,137.0
7/29/2013,40018,73.425,65381.0,1712.0,275.0
7/30/2013,42982,77.917,65855.0,1701.0,237.0
7/31/2013,42745,76.982,66310.0,1692.0,186.0
8/1/2013,23025,34.794000000000004,66644.0,415.0,73.0
8/2/2013,40654,75.39,67027.0,2302.0,230.0
8/3/2013,34173,73.3,67293.0,3417.0,180.0
8/4/2013,40103,93.191,67685.0,4547.0,261.0
8/5/2013,41759,78.764,68242.0,1924.0,276.0
8/6/2013,42974,79.262,68744.0,1778.0,222.0
8/7/2013,39120,66.709,69137.0,1261.0,183.0
8/8/2013,32063,51.665,69436.0,946.0,137.0
8/9/2013,32926,54.952,69722.0,1269.0,134.0
8/10/2013,43368,103.744,69996.0,5567.0,223.0
8/11/2013,37161,83.00399999999999,70368.0,3826.0,234.0
8/12/2013,35646,62.896,70799.0,1314.0,257.0
8/13/2013,25569,44.373999999999995,71121.0,787.0,111.0
8/14/2013,43437,78.48100000000001,71481.0,1727.0,219.0
8/15/2013,42922,76.29899999999999,71862.0,1733.0,179.0
8/16/2013,41251,77.044,72207.0,2085.0,170.0
8/17/2013,44284,104.29,72471.0,5729.0,217.0
8/18/2013,31512,62.738,72846.0,2524.0,160.0
8/19/2013,37922,65.704,73299.0,1395.0,236.0
8/20/2013,41155,72.697,73703.0,1491.0,233.0
8/21/2013,41718,73.19800000000001,74080.0,1365.0,176.0
8/22/2013,30747,51.255,74400.0,787.0,128.0
8/23/2013,38716,72.175,74713.0,1965.0,157.0
8/24/2013,38049,81.05199999999999,75012.0,3933.0,194.0
8/25/2013,36641,80.733,75372.0,3626.0,199.0
8/26/2013,34812,61.473,75756.0,1098.0,190.0
8/27/2013,39258,67.086,76123.0,1222.0,188.0
8/28/2013,32262,53.456,76402.0,765.0,102.0
8/29/2013,38626,65.917,76669.0,1363.0,141.0
8/30/2013,36870,67.249,76922.0,1872.0,165.0
8/31/2013,28547,60.049,77133.0,3064.0,174.0
9/1/2013,28330,61.096000000000004,77331.0,3273.0,148.0
9/2/2013,24094,46.06,77609.0,1829.0,121.0
9/3/2013,36963,62.806999999999995,77997.0,1015.0,157.0
9/4/2013,42085,73.70100000000001,78388.0,1263.0,176.0
9/5/2013,40817,70.544,78726.0,1354.0,185.0
9/6/2013,40930,72.124,79010.0,1556.0,155.0
9/7/2013,38950,80.08,79273.0,3600.0,200.0
9/8/2013,37536,76.32600000000001,79649.0,3025.0,182.0
